channel,category,name,phone,email_or_form,social,website,source,notes,status
EMAIL,Coaching school,Co-Active Training Institute (CTI),(415) 451-6000 / 800-691-6008,marketing@coactive.com,,coactive.com,https://coactive.com/contact/,,to-do
EMAIL,Coaching school,iPEC Coaching,866-722-6224,admissions@ipeccoaching.com,,ipeccoaching.com,https://www.energyleadership.com/contact,,to-do
EMAIL,Coaching body,International Coaching Federation (ICF),888-423-3131,icfheadquarters@coachingfederation.org,,coachingfederation.org,https://coachingfederation.org/about/contact-us/,,to-do
EMAIL,Coaching school,The Life Coach School,800-356-1240,theteam@thelifecoachschool.com,,thelifecoachschool.com,https://www.thelifecoachschool.com/contact-us,,to-do
EMAIL,Coaching school,Robbins-Madanes Training,855-850-7111,support@robbinsmadanes.com,,rmtcenter.com,https://rmtcenter.com/contact/,,to-do
EMAIL,Coaching school,Institute for Integrative Nutrition (IIN),877-730-5444,admissions@integrativenutrition.com,,integrativenutrition.com,https://www.integrativenutrition.com/contact,,to-do
EMAIL,Coaching school,Erickson Coaching International,604-879-5600,(web contact form),,erickson.edu,https://www.erickson.edu/,,to-do
EMAIL,Coaching school,Coach U,1-800-482-6224,clientsuccess@coachu.com,,coachu.com,https://www.coachu.com/contactus/,,to-do
EMAIL,Coaching school,Health Coach Institute,888-822-1284,support@healthcoachinstitute.com,,healthcoachinstitute.com,https://healthcoachinstitute.com/,,to-do
EMAIL,Coaching school,Jay Shetty Certification School,,support@jayshettycoaching.com,,jayshettycoaching.com,https://jayshettycoaching.com/,,to-do
EMAIL,School counselor assoc,California Assoc of School Counselors (CASC),(909) 815-5222,customerservice@schoolcounselor-ca.org,,schoolcounselor-ca.org,https://www.schoolcounselor-ca.org/contact-us,,to-do
EMAIL,School counselor assoc,Texas School Counselor Association (TSCA),512-472-3403,info@txca.org,,txca.org/tsca,https://www.txca.org/tca/CONTACT2.asp,,to-do
EMAIL,School counselor assoc,New York State School Counselor Assoc (NYSSCA),(937) 969-7722,info@nyssca.org,,nyssca.org,https://nyssca.org/,,to-do
EMAIL,School counselor assoc,Florida School Counselor Association (FSCA),(904) 586-1757,fsca@fla-schoolcounselor.org,,fla-schoolcounselor.org,https://www.fla-schoolcounselor.org/,,to-do
EMAIL,School counselor assoc,Ohio School Counselor Association (OSCA),(614) 401-4642,osca@ohioschoolcounselor.org,,ohioschoolcounselor.org,https://ohioschoolcounselor.org/about,,to-do
EMAIL,School counselor assoc,Pennsylvania School Counselors Assoc (PSCA),412-612-3801,epeiffer@paschoolcounselor.org,,paschoolcounselor.org,https://www.paschoolcounselor.org/,,to-do
EMAIL,School counselor assoc,Illinois School Counselor Association (ISCA),,executivedirector@ilschoolcounselor.org,,ilschoolcounselor.org,https://ilschoolcounselor.org/Contact-Us,,to-do
EMAIL,School counselor assoc,Georgia School Counselor Association (GSCA),(770) 971-6002,info@gaschoolcounselor.org,,gaschoolcounselor.org,https://www.gaschoolcounselor.org/contact-us,,to-do
CALL,University counseling,UCLA CAPS,310-825-0768,info@caps.ucla.edu,,counseling.ucla.edu,https://counseling.ucla.edu/contact,,to-do
CALL,University counseling,Ohio State CCS,614-292-5766,(web form),,ccs.osu.edu,https://ccs.osu.edu/,,to-do
CALL,University counseling,UT Austin CMHC,512-471-3515,(web form),,cmhc.utexas.edu,https://cmhc.utexas.edu/,,to-do
CALL,University counseling,University of Michigan CAPS,734-764-8312,CAPS-UofM@umich.edu,,uhs.umich.edu,https://caps.umich.edu/,,to-do
CALL,University counseling,Arizona State University Counseling,(480) 965-6146,(web form),,eoss.asu.edu/counseling,https://eoss.asu.edu/counseling,,to-do
CALL,University counseling,University of Florida CWC,352-392-1575,(web form),,counseling.ufl.edu,https://counseling.ufl.edu/,,to-do
CALL,University counseling,Penn State CAPS,814-863-0395,(web form),,studentaffairs.psu.edu/counseling,https://studentaffairs.psu.edu/counseling,,to-do
CALL,University counseling,NYU Counseling & Wellness,(212) 998-4780,wellness.exchange@nyu.edu,,nyu.edu,https://www.nyu.edu/students/health-and-wellness/services/counseling-services.html,,to-do
EMAIL,Wellness/retreat,Kripalu Center,413-448-3500,registration@kripalu.org,,kripalu.org,https://kripalu.org/about/kripalu/contact-us,,to-do
EMAIL,Wellness/retreat,Omega Institute,877-944-2002,registration@eomega.org,,eomega.org,https://www.eomega.org/contact,,to-do
EMAIL,Wellness/retreat,Esalen Institute,831-667-3000,info@esalen.org,,esalen.org,https://www.esalen.org/contact,,to-do
EMAIL,Wellness/retreat,Spirit Rock Meditation Center,(415) 488-0164,srmc@spiritrock.org,,spiritrock.org,https://www.spiritrock.org/contact-us,,to-do
EMAIL,Wellness/retreat,1440 Multiversity,888-727-1440,info@1440.org,,1440.org,https://www.1440.org/contact-us,,to-do
EMAIL,Wellness/retreat,Drala Mountain Center,970-881-2184,frontdesk@dralamountain.org,,dralamountain.org,https://www.dralamountain.org/contact-us/,,to-do
EMAIL,Wellness/retreat,Insight Meditation Society,978-355-4378,rc@dharma.org,,dharma.org,https://www.dharma.org/contact-us/,,to-do
EMAIL,Wellness/retreat,CorePower Yoga (HQ),(866) 441-9642,yogaondemand@corepoweryoga.com,,corepoweryoga.com,https://www.corepoweryoga.com/contact-us,,to-do
EMAIL,Wellness/retreat,Modo Yoga,,info@modoyoga.com,,modoyoga.com,https://modoyoga.com/contact/,,to-do
EMAIL,Wellness/retreat,Art of Living Retreat Center,800-392-6870,info@aolrc.org,,artoflivingretreatcenter.org,https://artoflivingretreatcenter.org/contact-us/,,to-do
EMAIL,Wellness/retreat,Miraval Arizona,520-825-4000,(web form),,miravalresorts.com/arizona,https://www.miravalresorts.com/arizona,,to-do
EMAIL,Wellness/retreat,Canyon Ranch (Tucson),520-749-9000,reservations@canyonranch.com,,canyonranch.com,https://www.canyonranch.com/contact-us,,to-do
CALL,Therapy practice,Two Chairs,(415) 202-5159,support@twochairs.com,,twochairs.com,https://www.twochairs.com/referrals,,to-do
CALL,Therapy practice,Octave,(415) 360-3833,support@findoctave.com,,findoctave.com,https://www.findoctave.com/contact,,to-do
CALL,Therapy practice,Thriveworks,833-530-2577,(web form),,thriveworks.com,https://thriveworks.com/contact-us/,,to-do
CALL,Therapy practice,LifeStance Health,1-800-383-8282,wecare@lifestance.com,,lifestance.com,https://lifestance.com/contact/,,to-do
CALL,Therapy practice,Grow Therapy,(646) 687-9932,support@growtherapy.com,,growtherapy.com,https://growtherapy.com/contact-us/,,to-do
EMAIL,Therapy practice,Alma,,(support center),,helloalma.com,https://support.helloalma.com/hc/en-us,,to-do
CALL,Therapy practice,Headway,(833) 910-3781,support@get-headway.com,,headway.co,https://headway.co/,,to-do
CALL,Therapy practice,SonderMind,844-843-7279,support@sondermind.com,,sondermind.com,https://www.sondermind.com/contact-us/,,to-do
CALL,Therapy practice,Mindpath Health,1-855-501-1004,(web form),,mindpath.com,https://www.mindpath.com/,,to-do
CALL,Therapy practice,The Family Institute (Northwestern),(847) 733-4300,(web form),,family-institute.org,https://www.family-institute.org/about-us/contact-us,,to-do
CALL,Therapy practice,Talkiatry,833-351-8255,hello@talkiatry.com,,talkiatry.com,https://www.talkiatry.com/contact-us,,to-do
CALL,Therapy practice,Ellie Mental Health,1-888-693-5543,(web form),,elliementalhealth.com,https://elliementalhealth.com/contact/,,to-do
CALL,Therapy practice,Rula (formerly Path),(800) 985-3059,support@rula.com,,rula.com,https://www.rula.com/contact/,,to-do
CALL,Therapy body,American Counseling Association (ACA),800-347-6647,memberservices@counseling.org,,counseling.org,https://www.counseling.org/contact,,to-do
CALL,Therapy body,American Psychological Association (APA),(800) 374-2721,(web form),,apa.org,https://www.apa.org/about/contact,,to-do
CALL,Therapy body,AAMFT,703-838-9808,central@aamft.org,,aamft.org,https://networks.aamft.org/contactus,,to-do
EMAIL,Podcast,The Astrology Podcast (Chris Brennan),,theastrologypodcast@gmail.com,,theastrologypodcast.com,https://theastrologypodcast.com/contact/,,to-do
EMAIL,Podcast,Ghost of a Podcast (Jessica Lanyadoo),,ghostofapodcast@gmail.com,,lovelanyadoo.com,https://www.lovelanyadoo.com/contact,,to-do
EMAIL,Podcast,Typology (Ian Morgan Cron),,wendy@ianmorgancron.com,,typologypodcast.com,https://www.ianmorgancron.com/,,to-do
EMAIL,Podcast,The One You Feed (Eric Zimmer),,guest@oneyoufeed.net,,oneyoufeed.net,https://www.oneyoufeed.net/contact/,,to-do
EMAIL,Podcast,Therapy for Black Girls (Dr. Joy Harden Bradford),,(memo.fm form),,therapyforblackgirls.com,https://therapyforblackgirls.com/podcast/,,to-do
EMAIL,Podcast,On Purpose (Jay Shetty),,(verify) opowner@jayshetty.me,,jayshetty.me,https://jayshetty.me/podcast/,,to-do
EMAIL,Podcast,The Enneagram Journey (Suzanne Stabile),,(site contact form),,theenneagramjourney.org,https://www.theenneagramjourney.org/,,to-do
EMAIL,Podcast,Reimagining Love (Dr. Alexandra Solomon),,(site form),,dralexandrasolomon.com,https://www.dralexandrasolomon.com/podcast,,to-do
EMAIL,Podcast,We Can Do Hard Things (Glennon Doyle),,(voicemail 747-200-5307),,wecandohardthingspodcast.com,https://wecandohardthingspodcast.com/,,to-do
EMAIL,Podcast,Optimal Living Daily (Justin Malik),,,,oldpodcast.com,https://oldpodcast.com/,,to-do
DM,Creator,@enneagramandcoffee (Sarajane Case),Instagram ~500k,,@enneagramandcoffee,instagram.com/enneagramandcoffee,https://www.instagram.com/enneagramandcoffee/,,to-do
DM,Creator,@ninetypesco (Steph Barron Hall),Instagram ~140k-240k,,@ninetypesco,instagram.com/ninetypesco,https://www.instagram.com/ninetypesco/,,to-do
DM,Creator,@enneagramenthusiast (Sierra Mackenzie),Instagram ~109k,,@enneagramenthusiast,instagram.com/enneagramenthusiast,https://www.instagram.com/enneagramenthusiast/,,to-do
DM,Creator,@the.holistic.psychologist (Dr. Nicole LePera),Instagram ~7.8M,,@the.holistic.psychologist,instagram.com/the.holistic.psychologist,https://www.instagram.com/the.holistic.psychologist/,,to-do
DM,Creator,@nedratawwab (Nedra Glover Tawwab),Instagram ~1.8M,,@nedratawwab,instagram.com/nedratawwab,https://www.instagram.com/nedratawwab/,,to-do
DM,Creator,@jillian.turecki,Instagram ~3.9M / TikTok,,@jillian.turecki,instagram.com/jillian.turecki,https://www.instagram.com/jillian.turecki/,,to-do
DM,Creator,@thesecurerelationship (Julie Menanno),Instagram ~1M,,@thesecurerelationship,instagram.com/thesecurerelationship,https://www.instagram.com/thesecurerelationship/,,to-do
DM,Creator,@sanctuarywrld,Instagram ~2M,,@sanctuarywrld,instagram.com/sanctuarywrld,https://www.instagram.com/sanctuarywrld/,,to-do
DM,Creator,@moonomens,Instagram (verify),,@moonomens,instagram.com/moonomens,https://www.instagram.com/moonomens/,,to-do
DM,Creator,@chaninicholas,Instagram (verify),,@chaninicholas,instagram.com/chaninicholas,https://www.instagram.com/chaninicholas/,,to-do
DM,Creator,@ifrankjames,TikTok (verify),,@ifrankjames,tiktok.com/@ifrankjames,https://www.tiktok.com/@ifrankjames,,to-do
DM,Creator,@sarajanecase,Instagram ~399k,,@sarajanecase,instagram.com/sarajanecase,https://www.instagram.com/sarajanecase/,,to-do
DM,Creator,@yung_pueblo,,,@yung_pueblo,,creators-dm-list,Instagram · Poetry on healing & self-awareness,to-do
DM,Creator,@morganharpernichols,,,@morganharpernichols,,creators-dm-list,Instagram · Art + self-reflection,to-do
DM,Creator,@drjuliesmith,,,@drjuliesmith,,creators-dm-list,Instagram/TikTok · Practical psychology,to-do
DM,Creator,@estherperelofficial,,,@estherperelofficial,,creators-dm-list,Instagram · Relationships & self-knowledge,to-do
DM,Creator,@glennondoyle,,,@glennondoyle,,creators-dm-list,Instagram · Self-knowledge & courage,to-do
DM,Creator,@itsmarkgroves,,,@itsmarkgroves,,creators-dm-list,Instagram · Human connection,to-do
DM,Creator,@therapyforwomen,,,@therapyforwomen,,creators-dm-list,Instagram · Therapy,to-do
DM,Creator,@the.truth.doctor,,,@the.truth.doctor,,creators-dm-list,Instagram · Psychology,to-do
DM,Creator,@_lisaolivera,,,@_lisaolivera,,creators-dm-list,Instagram · Therapist / self-compassion,to-do
DM,Creator,@vienna_pharaon,,,@vienna_pharaon,,creators-dm-list,Instagram · Therapist / relationships,to-do
DM,Creator,@yourenneagramcoach,,,@yourenneagramcoach,,creators-dm-list,Instagram · Enneagram,to-do
DM,Creator,@costarastrology,,,@costarastrology,,creators-dm-list,Instagram · Astrology,to-do
DM,Creator,@nadiaaddesi,,,@nadiaaddesi,,creators-dm-list,TikTok · Therapist,to-do
DM,Creator,@stephanie__rigg,,,@stephanie__rigg,,creators-dm-list,Instagram · Attachment / relationships,to-do
DM,Creator,@thesecurelove,,,@thesecurelove,,creators-dm-list,Instagram · Attachment,to-do
DM,Creator,@nate_postlethwait,,,@nate_postlethwait,,creators-dm-list,Instagram · Self-awareness / emotional patterns,to-do
DM,Creator,@mindfulmft,,,@mindfulmft,,creators-dm-list,Instagram · Therapist,to-do
DM,Creator,@enneagramashton,,,@enneagramashton,,creators-dm-list,Instagram · Enneagram,to-do
DM,Creator,@workwithshadow_,,,@workwithshadow_,,creators-dm-list,Instagram · Shadow work,to-do
DM,Creator,@lindsay.fleminglpc,,,@lindsay.fleminglpc,,creators-dm-list,TikTok · Therapist,to-do
CALL,Therapy practice,The Therapy Collective,(929) 284-2390 (verify),,,,https://www.psychologytoday.com/us/therapists/the-therapy-collective-new-york-ny/1808597,,to-do
CALL,Therapy practice,New York City Psychotherapy Collective,(646) 600-8375 (verify),form,,https://www.newyorkcitypsychotherapists.com,https://www.newyorkcitypsychotherapists.com/contact,,to-do
CALL,Therapy practice,Downtown Psychological Services PC,646-588-5667 (verify),info@downtownpsychological.com (verify),,https://www.downtownpsychological.com,https://www.downtownpsychological.com/group-therapy-nyc,,to-do
CALL,Therapy practice,NYU Langone Group Psychotherapy,212-263-7419 (verify),FGPGroupTherapy@NYULangone.org (verify),,https://nyulangone.org,https://nyulangone.org/locations/nyu-langone-psychiatry-associates/group-psychotherapy,,to-do
CALL,Therapy practice,Madison Park Psychiatry,212-506-5935 (verify),info@madisonparkpsych.com (verify),,https://madisonparkpsych.com,https://madisonparkpsych.com/group-therapy-in-nyc/,,to-do
CALL,Therapy practice,Airport Marina Counseling Service,(424) 372-4238 (verify),,,,https://www.psychologytoday.com/us/groups/group-therapy-los-angeles-ca/141643,,to-do
CALL,Therapy practice,California Psychological Services Inc,(213) 207-6561 (verify),intake@capsychservices.com (verify),,https://capsychservices.com,https://capsychservices.com/,,to-do
CALL,Therapy practice,Wright Institute Los Angeles (WILA),(424) 371-5191 (verify),,,https://wila.org,https://wila.org/affordable-psychotherapy/group-therapy/,,to-do
CALL,Therapy practice,Justyn's Corner (Child and Family Counseling Center),323-248-1228 (verify),intake@justynscorner.com (verify),,https://justynscorner.com,https://justynscorner.com/group-therapy,,to-do
CALL,Therapy practice,Chicago Women's Health Center,773-935-6126 (verify),counselinginfo@chicagowomenshealthcenter.org (verify),,https://www.chicagowomenshealthcenter.org,https://www.chicagowomenshealthcenter.org/counseling,,to-do
CALL,Therapy practice,Flourish Counseling,(312) 659-4718 (verify),contact@flourishcounselingltd.com (verify),,https://womenscounselingchicago.com,https://womenscounselingchicago.com/groups-workshops/,,to-do
CALL,Therapy practice,Howard Brown Health,872-304-4401 (verify),GroupTherapy@howardbrown.org (verify),,https://howardbrown.org,https://howardbrown.org/service/group-therapy/,,to-do
CALL,Therapy practice,Chicago Therapy Group,(312) 646-0342 (verify),form,,https://www.chicagotherapy.com,https://www.chicagotherapy.com/,,to-do
CALL,Therapy practice,Bay Area CBT Center,415-941-5373 (verify),Info@BayAreaCBTCenter.com (verify),,https://bayareacbtcenter.com,https://bayareacbtcenter.com/san-francisco-therapy-counseling/,,to-do
CALL,Therapy practice,SF Bay Therapist Group,(650) 618-6434 (verify),therapy@sfbaytherapistgroup.com (verify),,https://www.sfbaytherapistgroup.com,https://www.sfbaytherapistgroup.com/contact.html,,to-do
CALL,Therapy practice,Calm Again Counseling,(415) 480-5192 (verify),form,,https://www.calmagaincounseling.com,https://www.calmagaincounseling.com/,,to-do
CALL,Therapy practice,The Brookline Center,(617) 277-8107 (verify),intake@brooklinecenter.org (verify),,https://www.brooklinecenter.org,https://www.brooklinecenter.org/services/group-counseling/,,to-do
CALL,Therapy practice,Cambridge Psychology Group,617-977-4770 (verify),info@cambridgepsych.org (verify),,https://cambridgepsych.org,https://cambridgepsych.org/group-therapy/,,to-do
CALL,Therapy practice,Overstory Health,617-202-3530 (verify),form,,https://www.overstoryhealth.com,https://www.overstoryhealth.com/,,to-do
CALL,Therapy practice,Austin Family Counseling,512-298-3381 (verify),info@austinfamilycounseling.com (verify),,https://austinfamilycounseling.com,https://austinfamilycounseling.com/,,to-do
CALL,Therapy practice,Therapy Austin,(512) 201-4501 (verify),form,,https://therapyaustin.com,https://therapyaustin.com/contact/,,to-do
CALL,Therapy practice,Austin Trauma Therapy Center,512-270-8215 (verify),,,https://atxtraumatherapycenter.com,https://atxtraumatherapycenter.com/service/group-therapy/,,to-do
CALL,Therapy practice,LightHeart Associates,425-504-6419 (verify),,,https://lightheartassociates.com,https://lightheartassociates.com/mental-health-treatment-programs-seattle/group-therapy/,,to-do
EMAIL,Therapy practice,Seattle Counseling and Wellness,,form,,https://www.seattlecounselingandwellness.com,https://www.seattlecounselingandwellness.com/group-therapy,,to-do
EMAIL,Therapy practice,Puget Sound Psychotherapy and Psychiatry,,form,,https://pugetpsychotherapy.com,https://pugetpsychotherapy.com/,,to-do
CALL,Therapy practice,Her Time Therapy,(720) 255-1667 (verify),,,https://www.hertimetherapy.com,https://www.hertimetherapy.com/group-counseling,,to-do
CALL,Therapy practice,Whole Connection,(720) 442-0946 (verify),,,https://wholeconnection.org,https://wholeconnection.org/denver-therapy/,,to-do
CALL,Therapy practice,Denver Metro Counseling,303-809-3341 (verify),,,https://denvermetrocounseling.com,https://denvermetrocounseling.com/group-therapy,,to-do
CALL,Therapy practice,In-Town Counseling,404-478-9890 (verify),,,https://intowncounseling.com,https://intowncounseling.com/group-therapy-atlanta-ga/,,to-do
CALL,Therapy practice,Counseling Services of Atlanta,678-771-6943 (verify),,,https://www.counselingservicesofatlanta.com,https://www.counselingservicesofatlanta.com/contact-us/,,to-do
EMAIL,Therapy practice,Key Counseling Group,,form,,https://www.keycounselingatl.com,https://www.keycounselingatl.com/,,to-do
CALL,Therapy practice,Therapy Group of DC,(202) 986-5941 (verify),,,,https://www.yelp.com/biz/therapy-group-of-dc-washington-2,,to-do
CALL,Therapy practice,The Sibley Group DC,301-679-8827 (verify),intake@thesibleygroupdc.com (verify),,https://thesibleygroupdc.com,https://thesibleygroupdc.com/contact-us/hours-location/,,to-do
CALL,Therapy practice,Rock Creek Therapy,(202) 630-8120 (verify),form,,https://rockcreektherapy.com,https://rockcreektherapy.com/group-psychotherapy/,,to-do
CALL,Therapy practice,Counseling Center Group,1-888-604-6776 (verify),info@ccgrouptherapy.com (verify),,https://counselingcentergroup.com,https://counselingcentergroup.com/contact-us/,,to-do
CALL,Therapy practice,The Center for Growth,215-922-5683 (verify),,,https://thecenterforgrowth.com,https://thecenterforgrowth.com/locations/society-hill-office,,to-do
CALL,Therapy practice,PhilaTherapy LLC,215-282-3004 (verify),contact@myphilatherapy.com (verify),,https://myphilatherapy.com,https://myphilatherapy.com/group-psychotherapy,,to-do
EMAIL,Therapy practice,Turning Leaf Therapy,,form,,https://turningleaftherapyservices.com,https://turningleaftherapyservices.com/,,to-do
CALL,Therapy practice,The Counseling Group,(786) 839-4385 (verify),,,,https://www.psychologytoday.com/us/therapists/the-counseling-group-miami-fl/1271005,,to-do
CALL,Therapy practice,Miami Counseling & Resource Center,(305) 448-8325 (verify),,,https://miamicounseling.com,https://miamicounseling.com/,,to-do
CALL,Therapy practice,Inclusion Online Therapy,(786) 600-4631 (verify),,,,https://www.psychologytoday.com/us/therapists/inclusion-online-therapy-miami-fl/1808028,,to-do
CALL,Therapy practice,Connections First,(971) 272-0796 (verify),,,,https://www.psychologytoday.com/us/therapists/connections-first-psychotherapy-group-practice-portland-or/107944,,to-do
EMAIL,Therapy practice,Sprout Therapy PDX,,intakes@sprouttherapypdx.com (verify),,https://sprouttherapypdx.com,https://sprouttherapypdx.com/,,to-do
EMAIL,Therapy practice,Family Ties Counseling Center,,form,,https://familytiescounselingcenter.com,https://familytiescounselingcenter.com/,,to-do
CALL,Therapy practice,Nashville CARES,615-921-0284 (verify),counseling@nashvillecares.org (verify),,https://www.nashvillecares.org,https://www.nashvillecares.org/counseling/,,to-do
CALL,Therapy practice,Southeast Psych Nashville,615-373-9955 (verify),form,,https://www.southeastpsychnashville.com,https://www.southeastpsychnashville.com/contact/,,to-do
EMAIL,Therapy practice,Nashville Therapy Group,,form,,https://nashvilletherapygroup.com,https://nashvilletherapygroup.com/,,to-do
CALL,University counseling,University of Washington Counseling Center,206-543-1240,form,,https://wellbeing.uw.edu/counseling-center/,https://wellbeing.uw.edu/counseling-center/about/,,to-do
CALL,University counseling,Michigan State University Counseling & Psychiatric Services (CAPS),517-355-8270,form,,https://caps.msu.edu/,https://caps.msu.edu/,,to-do
CALL,University counseling,University of Wisconsin-Madison University Health Services Mental Health,608-265-5600,form,,https://www.uhs.wisc.edu/mental-health/,https://www.uhs.wisc.edu/mental-health/,,to-do
CALL,University counseling,University of Minnesota Boynton Mental Health & Counseling,612-624-1444,form,,https://boynton.umn.edu/mental-health,https://boynton.umn.edu/mental-health,,to-do
CALL,University counseling,Rutgers University Counseling ADAP & Psychiatric Services (CAPS),848-932-7884,form,,https://health.rutgers.edu/medical-and-counseling-services/counseling-services/,https://health.rutgers.edu/medical-and-counseling-services/counseling-services/facultystaff-resources/consultations-and,,to-do
CALL,University counseling,University of Illinois Urbana-Champaign Counseling Center,217-333-3704,form,,https://counselingcenter.illinois.edu/,https://counselingcenter.illinois.edu/contact-us,,to-do
CALL,University counseling,Indiana University Bloomington Counseling & Psychological Services (CAPS),812-855-5711,form,,https://healthcenter.indiana.edu/counseling/index.html,https://healthcenter.indiana.edu/counseling/index.html,,to-do
CALL,University counseling,Purdue University Counseling & Psychological Services (CAPS),765-494-6995,form,purduecaps,https://www.purdue.edu/caps/,https://www.purdue.edu/caps/about/contact.php,,to-do
CALL,University counseling,University of Georgia Counseling and Psychiatric Services (CAPS),706-542-2273,form,,https://caps.uga.edu/,https://caps.uga.edu/caps/,,to-do
CALL,University counseling,UNC Chapel Hill Counseling and Psychological Services (CAPS),919-966-3658,form,,https://caps.unc.edu/,https://caps.unc.edu/about-us/contact-us-2/,,to-do
