category,name,area,phone,email_or_contact,instagram,website,status
NYC coach,Marissa Vicario (MWAH!),NYC,(917) 439-5182,(contact form),—,marissavicario.com,to-do
NYC coach,Looking Glass (Dr. Sylvia Gindy),Midtown,(646) 350-2202 (text),(contact form),—,lookingglassnyc.com,to-do
NYC wellness,Maha Rose Center for Healing,Red Hook BK,(718) 954-7590,info@maharose.com,@maharosenyc,maharose.com,to-do
NYC wellness,SKY TING,NoHo,(646) 823-9642,(contact form),@skyting,skyting.com,to-do
NYC wellness,Kula Yoga Project,SoHo/Williamsburg,917-472-7499,info@kulayoga.com,@kulayogaproject,kulayoga.com,to-do
NYC wellness,Three Jewels,East Village,(646) 964-5736,(contact form),@threejewelsnyc,threejewels.org,to-do
NYC wellness,Y7 Studio,Flatiron/UES/Village,(646) 820-0781,(contact form),@y7studio,y7-studio.com,to-do
NYC wellness,The Class,Tribeca,—,(contact form),@theclass,theclass.com,to-do
NYC wellness,Fyra Yoga (fka Modo NYC),West Village/Williamsburg,(212) 780-9642 (verify),westvillage@modoyoganyc.com (verify),@fyrayoga,fyrayoga.com,to-do
NYC wellness,Golden Hour Yoga NY,NYC (verify),—,(contact form),@goldenhour.yoga.ny,goldenhouryogany.com,to-do
NYC wellness,The Path (meditation),Manhattan,—,(contact form),@the.path,thepath.com,to-do
NYC wellness,The Bhakti Center,East Village,(212) 533-4842,info@bhakticenter.org,@bhakticenter,bhakticenter.org,to-do
NYC wellness,Shambhala Meditation Center of NY,Chelsea/Flatiron,(212) 256-9131,(contact form),@shambhalanyc,ny.shambhala.org,to-do
NYC wellness,Jivamukti Yoga Collective NYC,Lower East Side,(646) 389-0209,info@jivamuktiyoganyc.com,@jivamuktiyoga.nyc,jivamuktiyoganyc.com,to-do
NYC wellness,The BK Yoga Club,DUMBO BK,—,(IG / site),@bkyogaclub,bkyogaclub.com,to-do
NYC wellness,Brooklyn Yoga Project,Brooklyn,—,(site),@brooklynyogaproject,brooklynyogaproject.com,to-do
NYC wellness,Brooklyn Flow (fka Bend + Bloom),Park Slope BK,347-987-3162,(site),@bendandbloom,brooklynflow.com,to-do
NYC wellness,New York Insight Meditation Center,NoMad/Chelsea,(212) 213-4802,(contact form),@newyorkinsight,nyimc.org,to-do
NYC wellness,The Shala,Fort Greene BK,—,(contact form),@theshalanyc,theshala.com,to-do
NYC wellness,Solid Gold Yogi,Bushwick BK,(917) 754-3446,(contact form),@solidgoldyogi,solidgoldyogi.com,to-do
NYC wellness,MNDFL,NYC (verify),(212) 477-0601 (verify),village@mndflmeditation.com (verify),@mndflmeditation,mndflmeditation.com,to-do
