name,phone,email_or_form,social,category,website,source,status
Rula (formerly Path),(800) 985-3059,support@rula.com,,Therapy practice,rula.com,https://www.rula.com/contact/,to-do
American Counseling Association (ACA),800-347-6647,memberservices@counseling.org,,Therapy body,counseling.org,https://www.counseling.org/contact,to-do
American Psychological Association (APA),(800) 374-2721,(web form),,Therapy body,apa.org,https://www.apa.org/about/contact,to-do
AAMFT,703-838-9808,central@aamft.org,,Therapy body,aamft.org,https://networks.aamft.org/contactus,to-do
The Therapy Collective,(929) 284-2390 (verify),,,Therapy practice,,https://www.psychologytoday.com/us/therapists/the-therapy-collective-new-york-ny/1808597,to-do
New York City Psychotherapy Collective,(646) 600-8375 (verify),form,,Therapy practice,https://www.newyorkcitypsychotherapists.com,https://www.newyorkcitypsychotherapists.com/contact,to-do
Downtown Psychological Services PC,646-588-5667 (verify),info@downtownpsychological.com (verify),,Therapy practice,https://www.downtownpsychological.com,https://www.downtownpsychological.com/group-therapy-nyc,to-do
NYU Langone Group Psychotherapy,212-263-7419 (verify),FGPGroupTherapy@NYULangone.org (verify),,Therapy practice,https://nyulangone.org,https://nyulangone.org/locations/nyu-langone-psychiatry-associates/group-psychotherapy,to-do
Madison Park Psychiatry,212-506-5935 (verify),info@madisonparkpsych.com (verify),,Therapy practice,https://madisonparkpsych.com,https://madisonparkpsych.com/group-therapy-in-nyc/,to-do
Airport Marina Counseling Service,(424) 372-4238 (verify),,,Therapy practice,,https://www.psychologytoday.com/us/groups/group-therapy-los-angeles-ca/141643,to-do
California Psychological Services Inc,(213) 207-6561 (verify),intake@capsychservices.com (verify),,Therapy practice,https://capsychservices.com,https://capsychservices.com/,to-do
Wright Institute Los Angeles (WILA),(424) 371-5191 (verify),,,Therapy practice,https://wila.org,https://wila.org/affordable-psychotherapy/group-therapy/,to-do
Justyn's Corner (Child and Family Counseling Center),323-248-1228 (verify),intake@justynscorner.com (verify),,Therapy practice,https://justynscorner.com,https://justynscorner.com/group-therapy,to-do
Chicago Women's Health Center,773-935-6126 (verify),counselinginfo@chicagowomenshealthcenter.org (verify),,Therapy practice,https://www.chicagowomenshealthcenter.org,https://www.chicagowomenshealthcenter.org/counseling,to-do
Flourish Counseling,(312) 659-4718 (verify),contact@flourishcounselingltd.com (verify),,Therapy practice,https://womenscounselingchicago.com,https://womenscounselingchicago.com/groups-workshops/,to-do
Howard Brown Health,872-304-4401 (verify),GroupTherapy@howardbrown.org (verify),,Therapy practice,https://howardbrown.org,https://howardbrown.org/service/group-therapy/,to-do
Chicago Therapy Group,(312) 646-0342 (verify),form,,Therapy practice,https://www.chicagotherapy.com,https://www.chicagotherapy.com/,to-do
Bay Area CBT Center,415-941-5373 (verify),Info@BayAreaCBTCenter.com (verify),,Therapy practice,https://bayareacbtcenter.com,https://bayareacbtcenter.com/san-francisco-therapy-counseling/,to-do
SF Bay Therapist Group,(650) 618-6434 (verify),therapy@sfbaytherapistgroup.com (verify),,Therapy practice,https://www.sfbaytherapistgroup.com,https://www.sfbaytherapistgroup.com/contact.html,to-do
Calm Again Counseling,(415) 480-5192 (verify),form,,Therapy practice,https://www.calmagaincounseling.com,https://www.calmagaincounseling.com/,to-do
The Brookline Center,(617) 277-8107 (verify),intake@brooklinecenter.org (verify),,Therapy practice,https://www.brooklinecenter.org,https://www.brooklinecenter.org/services/group-counseling/,to-do
Cambridge Psychology Group,617-977-4770 (verify),info@cambridgepsych.org (verify),,Therapy practice,https://cambridgepsych.org,https://cambridgepsych.org/group-therapy/,to-do
Overstory Health,617-202-3530 (verify),form,,Therapy practice,https://www.overstoryhealth.com,https://www.overstoryhealth.com/,to-do
Austin Family Counseling,512-298-3381 (verify),info@austinfamilycounseling.com (verify),,Therapy practice,https://austinfamilycounseling.com,https://austinfamilycounseling.com/,to-do
Therapy Austin,(512) 201-4501 (verify),form,,Therapy practice,https://therapyaustin.com,https://therapyaustin.com/contact/,to-do
Austin Trauma Therapy Center,512-270-8215 (verify),,,Therapy practice,https://atxtraumatherapycenter.com,https://atxtraumatherapycenter.com/service/group-therapy/,to-do
LightHeart Associates,425-504-6419 (verify),,,Therapy practice,https://lightheartassociates.com,https://lightheartassociates.com/mental-health-treatment-programs-seattle/group-therapy/,to-do
Her Time Therapy,(720) 255-1667 (verify),,,Therapy practice,https://www.hertimetherapy.com,https://www.hertimetherapy.com/group-counseling,to-do
Whole Connection,(720) 442-0946 (verify),,,Therapy practice,https://wholeconnection.org,https://wholeconnection.org/denver-therapy/,to-do
Denver Metro Counseling,303-809-3341 (verify),,,Therapy practice,https://denvermetrocounseling.com,https://denvermetrocounseling.com/group-therapy,to-do
In-Town Counseling,404-478-9890 (verify),,,Therapy practice,https://intowncounseling.com,https://intowncounseling.com/group-therapy-atlanta-ga/,to-do
Counseling Services of Atlanta,678-771-6943 (verify),,,Therapy practice,https://www.counselingservicesofatlanta.com,https://www.counselingservicesofatlanta.com/contact-us/,to-do
Therapy Group of DC,(202) 986-5941 (verify),,,Therapy practice,,https://www.yelp.com/biz/therapy-group-of-dc-washington-2,to-do
The Sibley Group DC,301-679-8827 (verify),intake@thesibleygroupdc.com (verify),,Therapy practice,https://thesibleygroupdc.com,https://thesibleygroupdc.com/contact-us/hours-location/,to-do
Rock Creek Therapy,(202) 630-8120 (verify),form,,Therapy practice,https://rockcreektherapy.com,https://rockcreektherapy.com/group-psychotherapy/,to-do
Counseling Center Group,1-888-604-6776 (verify),info@ccgrouptherapy.com (verify),,Therapy practice,https://counselingcentergroup.com,https://counselingcentergroup.com/contact-us/,to-do
The Center for Growth,215-922-5683 (verify),,,Therapy practice,https://thecenterforgrowth.com,https://thecenterforgrowth.com/locations/society-hill-office,to-do
PhilaTherapy LLC,215-282-3004 (verify),contact@myphilatherapy.com (verify),,Therapy practice,https://myphilatherapy.com,https://myphilatherapy.com/group-psychotherapy,to-do
The Counseling Group,(786) 839-4385 (verify),,,Therapy practice,,https://www.psychologytoday.com/us/therapists/the-counseling-group-miami-fl/1271005,to-do
Miami Counseling & Resource Center,(305) 448-8325 (verify),,,Therapy practice,https://miamicounseling.com,https://miamicounseling.com/,to-do
Inclusion Online Therapy,(786) 600-4631 (verify),,,Therapy practice,,https://www.psychologytoday.com/us/therapists/inclusion-online-therapy-miami-fl/1808028,to-do
Connections First,(971) 272-0796 (verify),,,Therapy practice,,https://www.psychologytoday.com/us/therapists/connections-first-psychotherapy-group-practice-portland-or/107944,to-do
Nashville CARES,615-921-0284 (verify),counseling@nashvillecares.org (verify),,Therapy practice,https://www.nashvillecares.org,https://www.nashvillecares.org/counseling/,to-do
Southeast Psych Nashville,615-373-9955 (verify),form,,Therapy practice,https://www.southeastpsychnashville.com,https://www.southeastpsychnashville.com/contact/,to-do
University of Washington Counseling Center,206-543-1240,form,,University counseling,https://wellbeing.uw.edu/counseling-center/,https://wellbeing.uw.edu/counseling-center/about/,to-do
Michigan State University Counseling & Psychiatric Services (CAPS),517-355-8270,form,,University counseling,https://caps.msu.edu/,https://caps.msu.edu/,to-do
University of Wisconsin-Madison University Health Services Mental Health,608-265-5600,form,,University counseling,https://www.uhs.wisc.edu/mental-health/,https://www.uhs.wisc.edu/mental-health/,to-do
University of Minnesota Boynton Mental Health & Counseling,612-624-1444,form,,University counseling,https://boynton.umn.edu/mental-health,https://boynton.umn.edu/mental-health,to-do
Rutgers University Counseling ADAP & Psychiatric Services (CAPS),848-932-7884,form,,University counseling,https://health.rutgers.edu/medical-and-counseling-services/counseling-services/,https://health.rutgers.edu/medical-and-counseling-services/counseling-services/facultystaff-resources/consultations-and,to-do
University of Illinois Urbana-Champaign Counseling Center,217-333-3704,form,,University counseling,https://counselingcenter.illinois.edu/,https://counselingcenter.illinois.edu/contact-us,to-do
Indiana University Bloomington Counseling & Psychological Services (CAPS),812-855-5711,form,,University counseling,https://healthcenter.indiana.edu/counseling/index.html,https://healthcenter.indiana.edu/counseling/index.html,to-do
Purdue University Counseling & Psychological Services (CAPS),765-494-6995,form,purduecaps,University counseling,https://www.purdue.edu/caps/,https://www.purdue.edu/caps/about/contact.php,to-do
University of Georgia Counseling and Psychiatric Services (CAPS),706-542-2273,form,,University counseling,https://caps.uga.edu/,https://caps.uga.edu/caps/,to-do
UNC Chapel Hill Counseling and Psychological Services (CAPS),919-966-3658,form,,University counseling,https://caps.unc.edu/,https://caps.unc.edu/about-us/contact-us-2/,to-do
Duke University Counseling & Psychological Services (CAPS),919-660-1000,form,,University counseling,https://students.duke.edu/wellness/caps/,https://students.duke.edu/wellness/caps/,to-do
Boston University Student Health Services Behavioral Medicine,617-353-3569,form,,University counseling,https://www.bu.edu/shs/behavioral-medicine/,https://www.bu.edu/shs/behavioral-medicine/services-we-provide/,to-do
Northeastern University University Health and Counseling Services,617-373-2772,form,,University counseling,https://uhcs.northeastern.edu/,https://uhcs.northeastern.edu/services/mental-health-visits-at-uhcs/,to-do
University of Maryland Counseling Center,301-314-7651,form,,University counseling,https://counseling.umd.edu/,https://counseling.umd.edu/aboutus/hours-contact-info,to-do
Texas A&M University Counseling & Psychological Services (CAPS),979-845-4427,form,,University counseling,https://caps.tamu.edu/,https://caps.tamu.edu/about/contact/,to-do
USC Student Health Counseling and Mental Health,213-740-9355,studenthealth@usc.edu,,University counseling,https://studenthealth.usc.edu/mental-health-and-well-being/,https://studenthealth.usc.edu/mental-health-and-well-being/,to-do
UC Berkeley Counseling and Psychological Services (CAPS),510-642-9494,form,,University counseling,https://uhs.berkeley.edu/caps,https://uhs.berkeley.edu/caps,to-do
UC San Diego Counseling and Psychological Services (CAPS),858-534-3755,form,,University counseling,https://caps.ucsd.edu/,https://caps.ucsd.edu/about/contact.html,to-do
University of Colorado Boulder Counseling and Psychiatric Services (CAPS),303-492-2277,form,,University counseling,https://www.colorado.edu/counseling/,https://www.colorado.edu/counseling/hours-and-contact,to-do
University of Oregon Counseling Services,541-346-3227,form,,University counseling,https://counseling.uoregon.edu/,https://counseling.uoregon.edu/crisis-support,to-do
University of Arizona Counseling & Psych Services (CAPS),520-621-3334,form,,University counseling,https://caps.arizona.edu/,https://caps.arizona.edu/appointments,to-do
University of Virginia Counseling and Psychological Services (CAPS),434-243-5150,form,,University counseling,https://studenthealth.virginia.edu/counseling-psychological-services-caps,https://studenthealth.virginia.edu/counseling-psychological-services-caps,to-do
Cornell University Counseling & Psychological Services (CAPS),607-255-5155,form,,University counseling,https://health.cornell.edu/services/mental-health-care,https://health.cornell.edu/services/mental-health-care,to-do
University of Pittsburgh University Counseling Center,412-648-7930,form,,University counseling,https://www.studentaffairs.pitt.edu/counseling/,https://www.studentaffairs.pitt.edu/counseling/services,to-do
University of Iowa University Counseling Service,319-335-7294,form,,University counseling,https://counseling.uiowa.edu/,https://counseling.uiowa.edu/about-us/contact-and-locations,to-do
Iowa State University Student Counseling Services,515-294-5056,form,,University counseling,https://www.counseling.iastate.edu/,https://www.counseling.iastate.edu/about-us/contact-information/,to-do
Florida State University Counseling & Psychological Services,850-644-8255,form,,University counseling,https://counseling.fsu.edu/,https://counseling.fsu.edu/contact,to-do
University of Miami Counseling Center,305-284-5511,form,umcounselingcenter,University counseling,https://counseling.studentaffairs.miami.edu/,https://counseling.studentaffairs.miami.edu/about/contact-us/index.html,to-do
Vanderbilt University University Counseling Center,615-322-2571,form,,University counseling,https://www.vanderbilt.edu/ucc/,https://www.vanderbilt.edu/ucc/about-us/contact-information/,to-do
Emory University Counseling and Psychological Services (CAPS),404-727-7450,caps.info@emory.edu,,University counseling,https://counseling.emory.edu/,https://counseling.emory.edu/about/contact-us.html,to-do
Georgetown University Counseling and Psychiatric Services (CAPS),202-687-6985,form,georgetowncaps,University counseling,https://studenthealth.georgetown.edu/counseling-and-psychiatric-services/,https://studenthealth.georgetown.edu/counseling-and-psychiatric-services/,to-do
